intervid,treatment,resp_female,resp_primary,resp_secondary,resp_tertiary,resp_noschool,resp_age,resp_married,resp_emp,hhmem,hhmem_adults,hhmem_children,hhmem_elderly,hhmem_employed,hhmem_unemployed,hhmem_retired,hhmem_school,total_exp,food_exp,nondur_exp,dur_exp,temp_exp,savings_avg,followup
372,0,0,0,1,0,0,32,0,1,4,2,1,0,1,1,0,0,11000,8840,600,0,1560,0,1
373,1,0,0,1,0,0,60,0,1,2,2,0,0,2,0,0,0,7808,2600,1632,2900,676,0,1
374,1,0,1,0,0,0,40,0,1,6,6,0,2,2,2,0,1,14000,2600,8400,3000,0,0,1
376,1,1,1,0,0,0,31,0,0,7,3,4,0,1,0,0,2,21175,20800,360,15,0,1500,1
377,1,0,0,1,0,0,28,0,1,4,2,2,0,2,0,0,1,54100,7800,4320,39900,2080,0,1
378,0,1,0,1,0,0,42,0,0,2,2,0,0,0,2,0,0,5400,2600,360,620,1820,0,1
379,0,1,0,1,0,0,26,0,1,6,4,2,1,2,0,2,1,7268,4420,600,1520,728,1500,1
381,1,0,0,1,0,0,42,0,1,5,4,1,0,1,0,0,3,32640,20800,5400,200,6240,0,1
383,1,0,1,0,0,0,41,0,1,4,2,2,0,1,0,0,2,5424,2080,1200,1000,1144,0,1
385,1,0,0,1,0,0,21,1,1,2,2,0,0,1,1,0,0,8818,4940,2748,350,780,500,1
387,1,0,0,1,0,0,33,0,1,5,2,3,0,1,0,0,2,10264,6448,1860,500,1456,500,1
389,1,1,1,0,0,0,58,1,0,1,1,0,0,0,0,0,0,2460,1560,840,60,0,0,1
390,0,0,0,1,0,0,20,1,1,1,1,0,0,1,0,0,0,21800,10400,3600,0,7800,0,1
392,0,0,0,1,0,0,50,0,1,5,4,1,0,1,2,0,3,41120,13000,7560,19000,1560,15000,1
395,1,0,0,1,0,0,27,0,1,3,2,1,0,2,0,0,0,9750,7800,1500,450,0,0,1
396,0,0,0,1,0,0,30,1,1,2,2,0,0,1,0,1,0,7396,5200,900,880,416,0,1
399,1,1,0,1,0,0,39,0,0,6,3,3,0,1,1,0,4,17320,5200,12120,0,0,0,1
400,0,1,0,1,0,0,20,0,0,3,2,0,0,1,1,0,0,6760,2600,2640,1000,520,0,1
402,0,1,0,0,1,0,20,1,1,5,4,1,0,2,0,1,3,7099,3120,3720,259,0,0,1
403,1,0,0,1,0,0,65,0,0,2,2,0,1,0,0,1,0,5560,5200,360,0,0,0,1
407,0,1,1,0,0,0,38,0,0,4,2,2,0,0,1,0,2,9100,6240,720,1100,1040,0,1
408,0,0,0,1,0,0,33,0,1,4,2,2,0,1,0,0,1,5700,3120,156,1800,624,0,1
411,1,1,0,1,0,0,26,0,1,3,2,1,0,2,0,0,0,6424,2600,1200,2000,624,0,1
412,0,0,1,0,0,0,25,1,1,1,1,0,0,1,0,0,0,7674,4940,1368,950,416,3000,1
413,1,0,0,1,0,0,47,0,1,1,1,0,0,1,0,0,0,4080,1820,600,100,1560,0,1
414,1,0,0,1,0,0,24,0,1,3,2,0,0,1,0,0,0,22980,5720,13560,3700,0,0,1
415,1,0,0,1,0,0,41,0,1,4,3,1,0,2,1,0,1,6620,5460,900,0,260,0,1
418,1,1,1,0,0,0,62,0,0,5,3,2,0,1,1,0,2,3880,1560,1320,1000,0,0,1
423,1,0,0,1,0,0,52,0,1,6,5,1,0,3,0,0,1,13260,6760,5040,1200,260,500,1
424,0,0,0,0,1,0,34,0,1,4,3,1,1,2,0,1,1,21920,5200,3480,12200,1040,15000,1
428,0,1,1,0,0,0,44,0,0,2,1,1,0,0,0,1,1,16280,6240,7200,1800,1040,0,1
430,1,0,0,1,0,0,52,0,0,3,3,0,0,1,0,1,0,3120,2600,120,400,0,0,1
431,1,1,0,1,0,0,45,0,1,3,2,1,0,1,1,0,1,8220,5200,1980,0,1040,1500,1
435,0,0,1,0,0,0,37,1,1,2,2,0,0,1,1,0,0,6200,5200,600,400,0,0,1
436,1,1,0,1,0,0,38,0,0,4,2,2,0,1,1,0,2,4940,3640,480,820,0,0,1
